Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,684,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,247,,Official data
TM,Detailed trade matrix,1,Armenia,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,2742,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,105,Israel,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,108,Kazakhstan,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,5,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,131,Malaysia,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,1,,Official data
TM,Detailed trade matrix,1,Armenia,38,Sri Lanka,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,216,Thailand,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,1,,Official data
TM,Detailed trade matrix,1,Armenia,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,2,,Official data
TM,Detailed trade matrix,1,Armenia,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,71,,Official data
TM,Detailed trade matrix,1,Armenia,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,115,,Official data
TM,Detailed trade matrix,1,Armenia,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,50,,Official data
TM,Detailed trade matrix,1,Armenia,223,Turkey,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,200,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2000,2000,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,225,United Arab Emirates,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,0,,Official data
TM,Detailed trade matrix,1,Armenia,237,Viet Nam,5610,Import Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,13,Bahrain,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,1,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,13,Bahrain,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,1,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,541,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,896,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,719,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,187,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,10,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5610,Import Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,0,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2006,2006,tonnes,543,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2007,2007,tonnes,449,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2008,2008,tonnes,478,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2009,2009,tonnes,434,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2010,2010,tonnes,397,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2011,2011,tonnes,350,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2012,2012,tonnes,140,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2013,2013,tonnes,100,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2014,2014,tonnes,258,,Official data
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2015,2015,tonnes,217,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2016,2016,tonnes,403,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,73,Georgia,5910,Export Quantity,619,"Fruit, fresh nes",2017,2017,tonnes,634,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,100,India,5610,Import Quantity,619,"Fruit, fresh nes",2005,2005,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",1999,1999,tonnes,198,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2001,2001,tonnes,3,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2002,2002,tonnes,283,,Official data
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,619,"Fruit, fresh nes",2003,2003,tonnes,862,*,Unofficial figure
