Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,113,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,102,Iran (Islamic Republic of),5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,27,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,105,Israel,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,7,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,108,Kazakhstan,5910,Export Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,117,Republic of Korea,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,216,Thailand,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,0,*,Unofficial figure
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",1999,1999,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2001,2001,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2002,2002,tonnes,18,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,3,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2009,2009,tonnes,23,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2010,2010,tonnes,10,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2011,2011,tonnes,166,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2012,2012,tonnes,13,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2013,2013,tonnes,2,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2014,2014,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2015,2015,tonnes,1,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2016,2016,tonnes,25,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,223,Turkey,5610,Import Quantity,463,"Vegetables, fresh nes",2017,2017,tonnes,6,R,Estimated data using trading partners database
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5610,Import Quantity,463,"Vegetables, fresh nes",2001,2001,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,213,Turkmenistan,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,10,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",1999,1999,tonnes,1,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2004,2004,tonnes,2,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2005,2005,tonnes,4,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2006,2006,tonnes,0,,Official data
TM,Detailed trade matrix,52,Azerbaijan,225,United Arab Emirates,5610,Import Quantity,463,"Vegetables, fresh nes",2008,2008,tonnes,16,,Official data
